date,bytes_added_absolute,bytes_added_neg,bytes_added_net,bytes_added_pos,edit_count,user_id
2012/11/22,28123665,-9788141,8547383,18335524,116579,0
2012/11/23,29059418,-9956787,9145844,19102631,99199,0
2012/11/24,25002085,-8446635,8108815,16555450,105695,0
2012/11/25,28251348,-9999064,8253220,18252284,104337,0
2012/11/26,45126631,-18496470,8133691,26630161,120965,0
2012/11/27,35707948,-13612197,8483554,22095751,132140,0
2012/11/28,33293258,-11780549,9732160,21512709,121163,0
2012/11/29,37509081,-14275837,8957407,23233244,112924,0
2012/11/30,30158404,-11056633,8045138,19101771,110637,0
2012/12/01,28347871,-9884005,8579861,18463866,111246,0
2012/12/02,27500595,-9715654,8069287,17784941,104812,0
2012/12/03,31182548,-11214962,8752624,19967586,109144,0
2012/12/04,34285484,-12518203,9249078,21767281,120647,0
2012/12/05,38375485,-15159055,8057375,23216430,139456,0
